,essay_id,essay_set,essay,Ideas,organization,style,Conventions,total_score,tokens
560,19233,7,"Here is a way that I had to be patient, and we all know that??? has to be patient with others. ??? Yes, it was my birthday. I wasn’t thinking of my birthday party, my cake or ice cream, no I was thinking of getting the money, first present no money. Second present, yes, there was money. And so on until I got to the last present. It was a card so it had to have money in it. I couldn’t wait until I could buy something with it. How does being patient the into this, well I had to wait, and wait, and wait. It took nearly five whole months! Could you believe??? so much there ??? ??? ??? ??? ??? ???, and have to wait that long? Well, anyways it payed off. When I finaly got it I couldn’t believe it. It was the best thing in the whole world. That is why being patient is very hard to do, if its along time, but its also a good thing to do because it pays with every time.",2,2,2,3,9,215
877,19037,7,My grandma was patient for @NUM1 months because she had a big check that kept haveiry mastakes with it like they spelled her last name wrong so it had to be called back and retiped everytime they retipped it they would make a mastakes five times in a row and it takes a long time to prosses and we needed to pay our pills so we wouldn’t get kicked out. We also needed a new car and clothes. Our car ready to break down and our clothes we out grow. When my grandma finally got her check we went strait out and got a brand new car. and clothes. I think my grandma was pretty patient after they had to re do it over five time I know it wouldn’t be able to be that patient without loseing  it.,2,2,2,2,8,159
156,18098,7,"That warm tear running down my cheek, the hot wind blowing my blond hair out of my face. The only thing I could think about was why god had to take her so soon. Lets go back a week ago. We had just got the news my grandmother was going up to heven with the angels very soon. As soon as the next day we were on a plane heading to @LOCATION1. This was my dads mother; he was calm at the time but we all had to be patient with him because he was the closest with her out of the @NUM1 children. When we finaly took off we were in turbulence the whole @NUM2 hour flight. Which ment we couldn’t get up, @CAPS1 food, @CAPS1 @CAPS3 and also the queezy feeling in your stomach. It was the @CAPS4! Flying experience I’ve ever had. I flew all the time, just this time it was horrible! We had to take @NUM3 stops till we got to the @LOCATION1. Then another @NUM4 minutes till our bags came in. I was so happy to get out of that death trap! When we got to the house, I had my last time with my grandmother. It’s a : memory I will never forget. The stuborn little smerk on her face when we walked in was priceless. One thing I will never forget was my nickname from her “chicken little.”",2,3,3,3,11,296
644,18513,7,"I chose write a story about a time when I was patient. It was my first time hunting, I was only hunting squirls but still. What I had to was walk in the woods and sit down once you sit down you cant move. So I was sitting very still for @NUM1 minutes and finally I seen a squirl. So I took my shotgun and shot her in the chest. I was patient so I got a squirl. So that’s my story on patients.",2,2,2,2,8,99
551,19039,7,"Topic: write a story in your own way about patience @CAPS1 you ever seen someone @CAPS1 good patience? well I @CAPS1. @CAPS5 neighbor had just couldn’t wait till the soccer try outs for score. He practesd all day jugling pasing , and moves. The day came and for tryouts. He went and jugled , talked with the coach , shaved off some moves and went home .”  “it will be a couple weeks to see if your on the team or not the coach @CAPS3 “ @CAPS2 ,” @CAPS3 @CAPS5, “I can’t wait that long”. After he got back he told me all about it.” I @CAPS1 to wait a couple of weeks,” he @CAPS3 .So I told him about patience. The more you complain I @CAPS3 the worst you will get on your disippointment. So he went home and practiced a move he couldn’t make. A few days later. I was walking out side when suddenly, “ @CAPS4” @CAPS5 friend came screaming out side saying “I made it”  just smiled as I @CAPS3 ""patience patience works.”",2,2,2,3,9,259
729,19281,7,"A time I had to be patient was when my dad was waiting to get the money for our chiuahuce @CAPS1. It was @DATE1 and my dada sold his giutar to his uncle to get money for the day of coarse he didn’t have it. A day went by and still nothing. When my mom came and picked his ??? I went to swim practice trying to be patient and wait for my dad to get the money. At around @NUM1’oclock my dad called saying he won’t get the money till @DATE2 @TIME1! I was mad, but still tried to be patient. A few days went by and soon it was @DATE1 again. I was so excited. We finally got @CAPS2 I had been patiently waiting for a week and was tired of it. So when I was him my patience was worth it. That was the time I had to be patient for something good.It had really paid off.",2,2,2,3,9,199
854,18792,7,"Every year since I learned a bout @LOCATION1 and presents, now that I think about they never said you’d have to wait months until @CAPS1 came around. I love @CAPS1 but once a year or so @CAPS2 patient enough to wait until @DATE1 downward. The first @DATE2 of @DATE1 told me @CAPS1 was coming along with all we decorating ,carolling  and wistfull of @CAPS1 joy. I usually try to pass the time by having snow ball wars with my cousins. I still feel temptation trying to rush time and make me anxious and grueling to wait so long but @CAPS2 still patient and try to let the temptation go away. When @CAPS1 eve came I feel greatful I made it this long with patients because @CAPS2 just like my parents and cant wait for anything that takes month. Then it comes around as slow as possible and then leave quicker, then I could think how fast it left. Just like the saying time file sometime  having fan.",2,2,2,2,8,219
107,18279,7,"A time when I had to be patient was at my dance audition. Every year at @ORGANIZATION1 grove college I audition to help pay for my classes. I was ready and pumped to go dance, there were about @NUM1 people in the dance room. I worked very hard when I left the audition. My teachers told me that we would get a letter in the mail telling us how much scholarship money I got. Every day I waited at the mail box hoping my letter would come. A month had passed and I still didn’t get anything. I started to get worried and I thought I wouldn’t get anything. One day when I gave up all hope a letter came in the mail for me and said that I only got @MONEY3. I was very upset because my classes cost @MONEY1 and @MONEY3 was not a lot of help. I wanted to quit dance but it was a talent I had that I wanted to keep doing. So I waited until dance started and my teacher told me that there was a mistake, I actually got a scholarship for @MONEY2. My mom was very happy and so was I. My teacher apologized for the mix-up and for it taking so long for it to come. I learned a skill that year that was, patience can bring rewards to you but don’t give up because it will turn out alright in the end. I also learned that patience is good to learn at an early age, because when I get older a lot of things will get in my way, and I have to be patient so I can overcome all of them.",3,3,3,3,12,326
1562,19122,7,One time i was pacent  it was the time I wanted a I-pod tuch. My grandma was bidding on a I-pod tuch. It took a long  time to get it but we won. It took a long time for them to ship it but we got it. In the end it all paid off.,0,0,0,0,0,68
1470,18060,7,One thime i was in the doctors office and there was alot of people there and I was just getting there and my dad was telling me we should go because there are so many people and I said lets be puctiont and wait and he did so person after person and my dad was pactiont so it was @NUM1: hours till they caled are name and we went in and I got my five and vaxsene shots and we left and we went home and ate diner we not taco saled for dinner.,1,1,1,1,4,108
1518,18219,7,I was patient the my game it take to long got my so I got so my puch my big tr because. Was make me mad then my mom had come up with she hint I ean down the stilts got mom money she buy me trall my huse she take the her way I patient now the end. I’m patient to go lunch I got @NUM1 b lunch so I got @NUM2 huse to go to lunch so don’t take bep for some guess now @NUM3 hours I’ll lunch I’m mad to ??? it @NUM4 till lunch now when is doing the test so forgot to ask for some gam over it is @NUM5 we go to lunch it @NUM6 we got to lunch now heard line I got he patient for ??? She me we she made my sleb so good ate I’ll of it then dinck my milk then we tried to be patient for ??? my taken mis greetees I was happy than ever.,1,1,0,0,2,198
1563,18161,7,"When I was patient I had no fears no argument but I had a good deal .I had a @CAPS1  @CAPS4 was so good my sister @PERSON1 said “@CAPS2 I get some”  I said “ @CAPS3 you @CAPS2” @CAPS4 was a miracle so I was driving her car at the gasstation .I went to @ORGANIZATION1 .I said ,”@NUM1 @CAPS5 please “ @CAPS4 was a cousin of mine and she said ,” @NUM2 days ago “ I was like “ wow “ @PERSON1 called my phone because @CAPS4 was my daddy’s weekend she said ,” get down there now I was like  wow.",1,0,0,1,2,157
29,18454,7,"Patience is essential when interacting with others. I learned this during a visit to the dentist’s office. This @DATE1, I had a dentist appointment, since it had been six months since my last one. As I was waiting to be called in, a boy came in with a severe toothache. The dentists decided to treat him first. I understand why they made that decision. I could tell that the boy was in a lot of pain. Shortly after the boy went to get treated, an older women came in with a mysterious pain in her mouth. It turned out to be a root canal, and they decided to examine and treat her before me. I also understood that decision. After the women went to get treated, a little girl comes walking in, bragging about her first loose tooth. Her mom said she wanted the little girl’s tooth pulled. When the dentist called her back before me, I got really frustrated. The girl was in no pain at all. In fact, she was pretty happy she had a loose tooth. I didn’t it was fair that I had to wait another @NUM1 minutes so that she could get her tooth pulled. I had to show a lot of patience because my appointment got pushed back over two hours. I thought about how I felt when I lost my first tooth, and then I didn’t mind her going in front of me. All in all, patience is a very important trait that people should exhibit on a daily basis. I learned a very important lesson that day: Patience should always be manditory.",3,3,3,3,12,316
325,18696,7,"Ugh, what is taking the gym teacher @CAPS14 long? @PERSON1 whined. ""@CAPS1's been hours"" ""@CAPS1's only been @NUM1 minutes."" @PERSON2 said. ""@CAPS3, @CAPS4 @CAPS1 has felt like its been a couple of hours."" @PERSON1 said. ""@CAPS4, you just have to have a little patience."" @CAPS5 explained. ""@CAPS6"" @PERSON1 said. ""@CAPS7 you sit here and have your @CAPS14 called patience I'@CAPS8 be putting my bag on the stage."" @CAPS9 @PERSON1 got up everybody tried to tell him to sit down but all he did was ignore them. ""@CAPS10'man man just sit down and have patience ""@PERSON2 said ""@CAPS11, I've been waiting to long I'm bored I'm tired and my feet hurt!"" @PERSON1 yelled @CAPS9 he was walking behind the stage. ""@CAPS12're gonna get in trouble."" @PERSON2 said, looking down. ""@CAPS13 was just yelling:"" yelled the gym teacher with an angry face. The gym teacher looked to his right and saw @PERSON1 behind stage and said ""@CAPS12 couldn't played basketball but @PERSON1 messed @CAPS1 up for everybody."" @CAPS14 nobody played because @PERSON1 didn't have any patience. @CAPS14 I hope today he'll have a little more patience hopefully.",2,3,3,3,11,317
233,18337,7,"This is the story about the time I was patient. It was a warm day and I was sitting on the grass with the radio on. As my favorite song went off I reached to change the program. But when I heard the man say usher tickets on sell that and then I frozzes to listen, the tickets were going on sell down town. I told my mom and she rushed in the car and got dozen there so fast you wouldn’t even see us leave. When I got to the line it was so long it seem like it go on forever. I waited and waited it felt like it only moved on an inch. Ti waited and still waited I beagin to get mad but I stood in line. Which my long wait was over I begain to jump for joy. As I walked to the concer she said “sorry we are all sold out. I couldn’t believe it I begain to scream my head out. I did all that waiting for nothing it was so unfair. And that’s the time I was patient for noting.",3,3,3,2,11,213
1021,19369,7,Once I went to @CAPS1 world and we were waiting for about @NUM1 hours to get on this stupid rude. I was they because I had my @ORGANIZATION1 so I played that but on to an hour I got bored. I picked on my sisters and it was on watching them get mad. Then I got bored with that so I just sat down on the road.,2,2,2,2,8,80
1410,19428,7,One day I was watching @CAPS1. I was bored there was nothing good on. So my mom was on the computer. I told her if I can get on she was like ok. In @NUM1 mins. I waited for her to be done. Ok now you can go on. Thanks mom. You welcome. I was very patience. That’s the time I was patience to go on the computer,1,2,1,1,5,84
1246,18461,7,One opeadatire ??? . Is when I was a little kid.was patience is when my mom and my cousin cindy was talking .my cusin told me when your mom and I was done talking she told me wait yourturn so I did wait for my turn.When they were   ??? talking I ask my mom is I can go for my bike. I told my mom I can ride my bike without training reals. My mom came up because I was going for sargey.I was waiting for the sargey.The sargey was some kind of ???So I was waiting entell it was done.It was fun,2,1,1,2,6,129
403,18520,7,"@CAPS1's cold @CAPS1's raining, I'm wet @CAPS1's been @NUM1 hour and still no activity. All I have to do is wait. I'm hunting deer hitting with my new @CAPS2 @CAPS3 bow. I'm a decent shot but not that good. I know patients is the key to deer hunting so I will just have to wait. I now see a deer about @NUM2 yard away and shoot @CAPS1 so my patience pays off",2,2,2,3,9,106
1557,19436,7,"Patience is useful in certain times like waiting for a blood test or to me your ??? again. In other times patience is usless as in the army, any army, you sometimes wait to die by the hand of your enemy .Patience is mostly good because if you rush you might hurt someone, miss something helpful, or just something you enjoy.",0,1,1,1,3,71
1241,18320,7,"Patience when a person is patient the can wait a thousand years   for an answer. Or he/she is understanding of what the problem is when you are stuck. I always think they are a saint when they have the patience to deal with their wife, children, and job at the same time, and keep his cool. That is amazing. Patience is when the person is always their when you need help and he will give you patience by just around him. I think patience is calm, doesn’t lose his temper and helps you when you need a little boost of patience",0,2,2,2,6,115
695,18991,7,"This story is about a time when I was patient. I was about @NUM1 years old. It was a gorgeous day outside. The best part is that it was my birthday. All of a sudden I had a brainstorm. I was going to try and ride my bike with no training wheels. So I ran inside as fast as my little feet would let @CAPS9 go. I went @CAPS1 through the front door and I yelled “@CAPS2, @CAPS3 @CAPS7 quickly I have something to tell you.” “@CAPS4 is of buddy” my @CAPS2 screeched as she ran down the stairs. “@CAPS5 is @CAPS3” I yelled. “@CAPS6 is coming.” “@CAPS7 on sweety you have gotta somewhere @CAPS4 your son wants us to here it must be important.” “it is, it is, it is,” “@CAPS7 on mum we can meet him outside.” “@CAPS8, we will be outside” “ok” “@CAPS7 on lets go.” @CAPS9 and my @CAPS2 ran outside to wait for @CAPS3 and that was a time that I was patient.",2,2,2,3,9,261
150,17939,7,"I sat there, staring off into the distance waiting for something to happen. I casually leaned back to my chair and propped my head toward the ceiling. I tried my best to clear my head and be paitient. But when I opened them, I was sitting on some bars in line for celar paint’s @ORGANIZATION1. The voices of many people ran through my ears as laughter, happiness, and danger. The line was estimates at a two hour wait, but my friend @PERSON1 and I wanted to ride the ride. We started up at the roller coaster while the sun beat down taunting us. “@CAPS1 is this taking so long?!” I said impatiently. “@CAPS2 next time we should go during the week. Do you want to leave?” “@CAPS3.”  I fought with myself to be patient for the ride. The line slowly scooted forth. Beads of sweat formed on my forehead. I wanted to remain patient, so I pulled out my music player and thought of my music. I became more willing to wait. But before I knew it, people were yelling at us to move forward. Embarrassed, I jammed my music player in my pocket. But the line moved a tremendous amount. It had been about an hour and forty minutes when we were in the place to get on. I was proud of being patient. We looked at the ride and hopped on. Patience really pays off. I learned to be patient with all sorts of things.",2,2,3,3,10,314
1456,19376,7,"When my friend was getting his meds I waited until he got ready, I was seating to wait for him. I was getting my phone down loud @PERSON2 ping pong and uplift. I was looking for @PERSON1 and I was waiting for him to be done.",1,1,1,2,5,54
400,18430,7,"One time I had to be really patience. It was when I was on my way to @LOCATION1 to see my family. It took four days to get down there. It would have taken two or three days but we stoped a lot. My dad wanted to go to all of the stores and restronts on the way. It made me kinda mad because we didn’t need to go to all of them but to my dad we did. On our way it felt like two weeks. My uncle @PERSON1 called us ever five minuts on the way. He kept saying things like how close are you, when are you going to get here, are you lost, and did you get me some co-co weats? I thouth that was really funny. My uncle loves co-co weats. I mean I like them to but not that much. When we finly got down there my legs hurt so bad from sitting in the back of my dads car. I walked around for two hours to get the feeling back in to my legs.",3,3,2,2,10,213
1148,18177,7,"When I went deer hunting with my dad I was patient. When me and my dad went deer hunting I had to be patint by waiting. The hardest part was being quiet to. I also had to stay still. Being patint is waiting for some thing. I had to be patint because I was waiting for a deer all day. Even now I did not get a deer, I was quiet, still and patint.",1,1,1,2,5,87
1295,19458,7,"I asked my mom can I have something to eat. She @CAPS12’t say @CAPS1 so I wait wait then wait wait and wait and then I went up stairs and I waited @CAPS2. I was hungry then I was Being patient that whole time @CAPS3. I usually get the @CAPS4 use to @CAPS5 @CAPS6 @CAPS7 @CAPS8, I do. Another time @CAPS9 thankgiving I was patient @CAPS3 they were cooking the @CAPS4 and they @CAPS12’t cook the @CAPS4 yet so we waited until the @CAPS4 was @CAPS16 our stomaches were growling for @CAPS4 so I @CAPS13 A man of patience @CAPS3 I waited uNtil the @CAPS4 was @CAPS16.",1,2,2,2,7,184
673,18843,7,"Being patient isn’t always that easy, in fact, last year was one year where I had to sit in a car with @NUM1 rude, screaming and crying kids for @NUM2 hours. Last year I was so excited to see my great @CAPS3 davn in???. with my grandpa. My @CAPS1 pa is fan bag to talk to, @CAPS2 later than I found out my @NUM1 younger cousins were coming. This was going to be a long car ride. We packed our things in the car. I brought my ipod and a book, @CAPS2 my cousins brought??? loud noisy and flossy toys they bot just for the ride. As we started heading for @LOCATION1 I turned my ipod on and found out it only had @PERCENT1 battery left. Half way there I was almost dad of borden, @CAPS2 the kids were just settling down. When I was sure they were asleep I decided to join them. WACK! I auske is a sobbery slap to the face, “were here” my cousin enchoired, finally I said to myself as I was still waking up with a sore, and stiff neck. After we were done visiting my @CAPS3, it was about @NUM4 hrs and my cousins were all asleep again and I knew it was going to be a nice ride home.",2,2,3,2,9,288
1398,19033,7,"Patience is probalbly  one of the most important things in your life. If you are patient, most people will probalbly like you more, for example, if you are in line for something at school, and you were patient, you will probalbly get a “@CAPS1 you” from one of your teachers for being so patient. You always have to be patient, weather or not if it is at school, an ammusinent park ride’s line in front, and behind a bunch of people, you will want to be patient, because if you are are not, you wouldn’t want to lose it in front of all of those people and cut in front of them, and possibly get thrown out of the ammusmend park in front of all those people, then, you would be emborresed. This is why I think patience is important.",0,2,2,2,6,184
1321,18456,7,"Patients is about many things. First, there is diffrent ways to express patients. Second, people either have patients or they don’t. I admit I am one of those people that don’t have patients. My mom is always saying, “@CAPS1 your horses.” @CAPS2 I know. I don’t have patients so why does she have to tell me I don’t? I don’t have any patients in grocery shopping I can’t wait to get out but, everyone hates it right? Lines, lines, lines man do I hate them the take forever, wherever you go. Plus it is really nice when you let someone out if they are in a big hurry or somthing in a emergency. Plus the goodness in you just can’t help it when you have a little girl that needs to cut you. So you see patients can take a toll or some people have no problem with it. It just depends on who you are. Patients has a lot to do with complaing. But not the way you think, when you are patient you don’t complain at all you chill and go with the flow of things that are around you. Especillaly, when you are in a difficult situation it helps to have patient people than non-patient people with you. Well that talks about patients and how people deal, relate, and chill about it.",0,2,2,2,6,277
554,19077,7,"One time I was patient was last year when I was at a amusment park in @LOCATION2 callnt cedarpaint. I was slunting in line to get to get on a amazing lollermaster called the @CAPS1 @CAPS2 @CAPS3 force. It was a very tuff ride and delitedly ?? in the ?? but it was ten hours long. Standing in the hot unbearableline hurts ,horid, ussually when in @LOCATION1",2,2,3,3,10,102
300,18257,7,"Patients for me is hard but this is a time that I was patient. It was the first day of school, and it was the end of the day. At the end of the day there were volleyball tryouts. I wanted to try out but I didn’t have my physical. So while everyone was playing volleyball me and @NUM1 other people were sitting and watching for @NUM2 @DATE1!!!. I wasn’t vary patient then but @DATE1 on at the end of the tryouts my mom came to pick me up and we went straight from there to the sports center doctors office thingy, so I could get my physical done. So me and my mom went in and she had to sign and fill out paper work because she didn’t make me all appointment. So that took about @NUM3 min. then we waited, and waited, and waited until @NUM4 and @DATE1 if you add that up this @NUM2 @DATE1 waiting there with nothing to do. I was patient but my mom definitely wasn’t. So finally they called me in and they took my mom to a room to wait while they took my height and weight. Then they took me to the room my mom was in and we waited for @NUM3 min. then finally they gave us the paper/ physical, and then we left. Practice ended at @NUM7 and we didn’t get home until @NUM8!!!. That is a time I was patient.",2,2,2,2,8,297
1077,18659,7,"I am writing about a time when I was patient. The time I was patient is when it wast the first week of football. We went town to subway before the game and got a cub. I was the first one in line but then I was folowed by other people olny one cut me at first but then others followed and I became the last one in line, it felt like an hour in line! Finally I was up next I got my sub. It had turkey, lettuce, pickles, banana, pepper, cucumbers and great frech spinach.   It rearned something in that line being patient realy pays off and by the time in at back. It had over been @NUM1 minutes. I sighed in relief. We were pumped for our first games we played starta we tied it though but that was still a great day!",1,2,2,1,6,176
1536,19371,7,In my own words patience is when you have to just be com and quiet. And not all hyper and annoying. Patience is just controling yourself. And not being all rude and disrespectful to others.,0,1,1,1,3,41
1424,18040,7,"One day I was at a baseball game in @LOCATION1 and the line was huge it stretch out for half a mile and we were at the end. So it took us about an hour to get up there so I had to be very very patient or else my dad would’ve gone crazy, so that’s my story about patience.",1,1,1,2,5,67
844,18732,7,"A time I was patient is now @DATE1. The reason is because I am waiting for @CAPS1 new phone. See in @DATE2, I spelled orange juices on @CAPS1 phone. Everybody would call me weired and responsible. At first @CAPS1 phone was fine and everything alright. Then one day @CAPS1 speaker stopped working. I could call anyone or  listen to music. @CAPS1 heart sank. I quickly ran to @CAPS1 dad and told him about @CAPS1 problem. He first lasted and shook his head. Then grabbed @CAPS1 phone to test it. After he disconnected it did not work, his face was shocked. He then asked me how did that happen. Now at the time I was so stunned,so i couldn’t figure it. Then the image of me spilling the orange juice came to mind. Something told me to keep this from @CAPS1 dad. I told anyway, and he laughed. I looked at him with a why are you laughing dad. He said “You are going to have to wait until I get the money.” @CAPS1 face was calm but here I am still waiting for the phone.",2,2,2,3,9,249
980,18731,7,"A  time I was patient was at the barber shop. My sister , my niece, and I were going to the barber shop at @NUM1. I was getting my hair cut by a official barbor. I waited all the way to @NUM2 to get my hair cut. That was a time I was patient",2,2,2,3,9,65
226,18202,7,"One time my brother @PERSON1 was patient. Patience is being understanding and lisksent through difficultis without complaining. Our family lived in @LOCATION1 and were going to cedar point on vacation. We had fun all day end at @NUM1 we went on @ORGANIZATION1. @PERSON1 went on the blue @ORGANIZATION1 while the rest of the family went on the red. The blue keeps you up at the top for @NUM2 and drops you while the red one shoots you up to @NUM3 feet. The line for the red @ORGANIZATION1 was shorter than the blue one so we got to go on first. Once the ride was over @PERSON1 was already at the top of the blue @ORGANIZATION1. We heard a loud sound that ment the blue @ORGANIZATION1 cast was coming down. But the blue cast wasn’t coming down. @PERSON1 was stuck at the top, @NUM4 feet in the air. @PERSON1 got a bird’s eye  of the park. I would have been scared if I were @PERSON1. At @NUM5 the ride lights came on and the cast plummed down. Finally,, he got a ride. Each ride got free season passes to cedar point. This is a time when @PERSON1 needed to show patience.",2,2,2,3,9,273
369,19363,7,"A time I was patient was when I got my shots. It was just me and my dad. I had to get my shots because I was sick. It was still cold outside because it was in @DATE1. We went to the @ORGANIZATION1 for children. In the beginning, I was at home getting ready to go. I put on an orange turtle neck sweater and jeans with sneakers. I didn’t want to go because it was after @CAPS1 and I had a lot of new games. It took us @NUM1 minutes to arrive. My dad filled out the information then we sat. In the middle, we start to watch television. I was really bored because it was nothing on but informercials. They had us waiting fo over an hour. I start to get hungry and very upset.  They finally called our name. In the end it was time to get my shot. The nice lady gave me a juice. Then she told me I was getting @NUM2 shots. I got my shots which took a very long time, I was frustrated, I got my shots, before we left they told me that I would be coming back for more shots. I was still hungry so we got @CAPS2.Donalds. In conclusion, I was very patient when going to get my shots. The information I got was just as painful as getting my shots. They had us wait for a very long time. I was sad to have to wait but happy it was over.",2,2,2,2,8,306
511,18423,7,"I play hockey. I am a goalle. A good goalle is always paitient. On my old hockey team me and the other goalle faced lots of @NUM1 on @NUM1 shots. Most of the @NUM1 on @NUM1 shots didn’t matter but a few of them did, and they were the hardest to stop. My team had never lost a game but we had a few very close games. In one of the games, the score was @NUM1 to @NUM6 and my team had the lead. It was towards the end of the game and they had a @NUM1 on @NUM1 against me. The shooter was skating in from the side and he cut across the middle of the ice. It was tempting to go down but I stayed on my feet. I waited for the shooter to get to a point where he had no place to go and he shot and I stoped it. That was even of the only shots of the game and I stoped it.",2,3,2,3,10,206
137,19227,7,"To write about a time I was patient is hard for me to do so since I am not a patient person, but I am going to try. Three days before the trip to cedar point can not wait for it to be here. I did try to make it rush by, but it didn’t work. I had been off of school now for @NUM1 weeks and I had did everything I wanted to do. When me my mom, sister and friends go we always have a lot of fun (of corce). Every night since , I have known we are going to cedar point I would sit there and think one day when many kids would ask and complain to there mom saying, “ can’t it come anymore,” but me never, not one I know that no one could make time go by faster. So I waited did my chores, packed and watched tv. Trust me it was very long, very boring and is itching at me to complain but I didn’t. I took a deep breath every time, this would happen to me. And say only a little wait compared to other things. I would also think about how lucky I am to be going to cedar point. I know I am a very impatient person and I am trying to fix it. This is what I try to do and do while waiting for cedar point to come along. This is what patient is to me, and in my life. This is also a time in my life when I was patient.",2,3,3,3,11,297
1008,19148,7,"One time @CAPS2 @CAPS1 was siting watching t.v and having a fun time when his brother, or step brother @PERSON1 came in the room and said “@CAPS2 we have to go my interview, or you are going to grounded,?? “@CAPS3 long is it,” @CAPS2 said, “About an hour long,” replied @PERSON1. But itchy and scratchy is going to be on, and it’s a one time only,” said @CAPS2, “@CAPS6 that pointless kidshow,dude that was on the @CAPS7 and then they made into a real show”. Were is it at,” @CAPS2 said. It’s at @ORGANIZATION1, @CAPS6 and the @CAPS9 @CAPS10 man @CAPS2 be there, we leave in an hour okay, so make a science experiment or something, “@PERSON1 said, @CAPS2 never liked the @CAPS9-@CAPS13 man, after the commercial he was in @DATE1, which I shall not say what happened. @CAPS2 did what he does best make a science experiment to plot revenge on the @CAPS9-@CAPS13 man or whoever he doesn’t like. So he waited for @NUM1 minutes for the experiment to get done. Then they left, it was a three hour drive, and his favorite show was on, he taped it. He was being patient, then they got there. He looked for the @CAPS9-@CAPS10 man for @NUM2 minutes, could @PERSON1 be lieing to him, he was being so patient that he was getting tired, then feel asleep, and woke up and guese who it was.” The @CAPS9-@CAPS10 man,remember me “@CAPS2 said the @CAPS9-@CAPS10 dude man, @PERSON1 watched and laughed, @CAPS2 threw a bonney ball into the @CAPS9-@CAPS10, @DATE2, no more @CAPS9-@CAPS10 man. @CAPS2 was patient he was patient for more than @NUM3 hours to get to watch itchy and almost @DATE2 @DATE1 to get back at the @CAPS9-@CAPS10 man. The end.",1,2,2,2,7,500
740,19484,7,"When I went to the game with @LOCATION1, @PERSON1, and his mom, and dad. @PERSON1 has downs syndromd. And he likes to wach game’s. He like’s to cheer them on whene their playing. He also like to give them hi fives after they are done playing. I did not laugh at him. I thought was a perty cool guy. He like to talk a lot about’ suff like sport’s are cartoon’s. I dident make fon of him win he talk’s. I dident win he walks and or win he make nosies that are funny. He think of every one as his filend wich they are. When he standing in line he dosent move vary much. He yell’s wen @DATE1 port has the ball and is heading for a tuch down. When he gets mad when spirg port, don’t have the ball and they score. I @CAPS1 him That we will get it @CAPS2. He say yeha I now that. So he like’s to go on to the feeld to wach. But they won’t let on the feeld yet so I @CAPS1 him to be patience so he will calm down. When the game’s over his mom take’s us to @LOCATION1 house. We sat in the @CAPS2 being roud and taking. But she did not get mad.even now we had to set in a hour traffic jame. So after all that what I think patience is.",2,2,2,1,7,317
462,19524,7,"Everybody uses patience sometimes in their life. I have to use it everyday. I need it for basketball.  There could be a lot of different   reasons that some one would need to be patient. Well, I have @NUM1 in particular.                My first one is when people don’t pay attention. It frusterates me. When the team members   goof off, @CAPS1 @CAPS2. gets mad. She  will  either  tell us to knock  it  off or she will  make us run  a couple  laps  around  the gym. My first reason leads to my second.The  second  thing that urks  me is when people don’t pay attention, they  get lost  and  have  no club  what  is  going  on.  There is a  lot  of people who  take  a long  time  to  catch  on.  My second leads to my third.My third is when somebody new joins the team.  We  just  had  to  new  people  join  the  other  day  and   the  season  is  half  over.   The newest member of the team can not make a shot.  She doesn’t put all of her effort into it. There  is  only  like  @NUM2 out  of  @NUM3  or  @NUM4 people  that  is  actually good.looking  over  my paper, all of  this  I have  to be  patient  about. If  I  wasn’t, I would  be  in trouble  and  it  would  mean  I  would  have  bad  sportsmanship.  I deal  with  it  and  put  up  with  all  of   this  though. Over the years I learned about patience. I learned how to be patient too.  I’m  glad I  know  how to be now  or  else  where   would  I  be?  Probably not on any teams or in any clubs.",3,3,3,3,12,430
27,18395,7,"Beep! Beep! Beep! My alarm clock was going off and it was @NUM1 and I already missed the bus! Rushing to get out of bed, I quickly got dressed. Hopeing my brother and sister was downstairs all ready waiting for me. Oh no! They weren't downstairs! Running back up stairs like the house is on fire, I went in my brother's room and yelled,"" @CAPS1! @CAPS1! @CAPS4 already missed the bus. I don't want right to my sister room. Yelling the same thing, she quickly got out of bed and got dressed. Walking downstairs, thinking very thing is going to be fine. I got breakfast ready. Then my sisters come running down. Henaling her food, she yelled, ""@CAPS1!"" @CAPS3 at the time. It was @NUM2 am only @NUM3 more minutes' so I started henaling my breakfast. By my brother didn't come down yet. Finishing my breakfast, I went back up stairs and wake my @CAPS7 and my brother up. They came downstairs behind me. My brother just took is jelly time eating breakfast: @CAPS4 now that @CAPS4 were going in be late. @CAPS3 back at the clock it was @NUM4 only @NUM5 minutes! ""@CAPS4 aren't going to make it"" I said. Finally every one hoped in the van and @CAPS7 drove. Are to school. My sister and I were yelling, ""@CAPS1! Floor it! ""@CAPS7 ignored my brother didn't really care if @CAPS4 were late or not. Then finally @CAPS4 made it only @NUM6 minutes late. I goes my brother is the only patient one in the houses.",3,3,3,3,12,373
